Ticker,Name,Exchange
ISKAUD=X,ISK/AUD,CCY
PLNLKR=X,PLN/LKR,CCY
CHFZWL=X,CHF/ZWL,CCY
PHPDKK=X,PHP/DKK,CCY
MADLVL=X,MAD/LVL,CCY
JPYBOB=X,JPY/BOB,CCY
CHFMYR=X,CHF/MYR,CCY
EURANG=X,EUR/ANG,CCY
KRWEGP=X,KRW/EGP,CCY
CNHIDR=X,CNH/IDR,CCY
19754264.SW,SILBER 999/1000    ,EBS
CZKNZD=X,CZK/NZD,CCY
EURBGN=X,EUR/BGN,CCY
GBPAWG=X,GBP/AWG,CCY
BHDCHF=X,BHD/CHF,CCY
DKKEUR=X,DKK/EUR,CCY
CHFKWD=X,CHF/KWD,CCY
CADJMD=X,CAD/JMD,CCY
19753561.SW,SILBER 999/1000,EBS
BHDDKK=X,BHD/DKK,CCY
NOKUSD=X,NOK/USD,CCY
CLPARS=X,CLP/ARS FIXING,CCY
HKDTWD=X,HKD/TWD,CCY
EUR-TND.F,EUR/TND,FRA
PABGBP=X,PAB/GBP,CCY
LVLKWD=X,LVL/KWD,CCY
TZS=X,USD/TZS,CCY
HKDZAR=X,HKD/ZAR,CCY
19753828.SW,GOLD 999.9/1000    ,EBS
CADVND=X,CAD/VND,CCY
QARTND=X,QAR/TND,CCY
MKDUSD=X,MKD/USD,CCY
GBPETB=X,GBP/ETB,CCY
EURMMK=X,EUR/MMK,CCY
EUR-TRY.F,EUR/TRY,FRA
TNDINR=X,TND/INR,CCY
EURHUF=X,EUR/HUF,CCY
SEKCLP=X,SEK/CLP FIXING,CCY
CADKPW=X,CAD/KPW,CCY
HKDVND=X,HKD/VND,CCY
NZDKRW=X,NZD/KRW,CCY
XDRNOK=X,XDR/NOK,CCY
LYDUSD=X,LYD/USD,CCY
EGPPHP=X,EGP/PHP,CCY
OMRJPY=X,OMR/JPY,CCY
AUDFJD=X,AUD/FJD,CCY
UAHGBP=X,UAH/GBP,CCY
ERN=X,USD/ERN,CCY
KWDILS=X,KWD/ILS,CCY
TWDTND=X,TWD/TND,CCY
CHF=X,USD/CHF,CCY
19838330.SW,SILBER 999/1000,EBS
TWDINR=X,TWD/INR,CCY
GBPYER=X,GBP/YER,CCY
AEDMXN=X,AED/MXN,CCY
CLPJPY=X,CLP/JPY,CCY
EUR-LYD.F,EUR/LYD,FRA
ZARNZD=X,ZAR/NZD,CCY
CHFLYD=X,CHF/LYD,CCY
JMDCHF=X,JMD/CHF,CCY
AUDHRK=X,AUD/HRK,CCY
