Ticker,Name,Exchange
RVQ14.NYM,RBOB Up-Down Calendar Swap Futu,NYM
T7K1329.NYM,Tennessee 500 Leg Natural Gas S,NYM
GVM5.AX,Base Load Quarterly $300 Cap El,ASX
ZALG1322.NYM,ZAL Future FEB 22 2013,NYM
QMX15.NYM,"Crude Oil miNY Futures,Nov-2015",NYM
CUSX17.CME,Housing (CSIs) Composite Index ,CME
XNQ13.NYM,SOCAL Natural Gas Pipeline (Syn,NYM
Z5Q13.NYM,GASOIL 0.1 CIF MED vs. ICE Gaso,NYM
U8V1310.NYM,CIG Rockies Natural Gas Swing S,NYM
EBH20.CME,"future for EB, March, 2020, tra",CME
PALH13.NYM,PAL Future MAR 2013,NYM
GYN14.NYM,Gulf Coast Ultra Low Sulfur Die,NYM
VRV13.NYM,New York Harbor 1% v. Gulf Coas,NYM
ADJJ13.NYM,ADJ Future APR 2013,NYM
H21J13.CME,Weather Chicago Weekly Average ,CME
PST5.AX,Peak Load Electricity South Aus,ASX
IDEBM4A.MDD,IDEBM JAN 14       ,MDD
SZG14.NYM,SONAT Basis Swap (Platts IFERC),NYM
MEG15.NYM,Gulf Coast Jet Fuel vs. New Yor,NYM
NHM15.NYM,Houston Ship Channel Basis Swap,NYM
GAS-PZ17-C.PH,,
DDU14.CBT,Dow Jones Industrial Average In,CBT
EAEN1301.NYM,EAE Future JUL 01 2013,NYM
T9K1301.NYM,T9 Future MAY 01 2013,NYM
ZALV1326.NYM,ZAL Future OCT 26 2013,NYM
H43N13.CME,Weather New York Weekly Average,CME
VSNH1330.NYM,VSN Future MAR 30 2013,NYM
A43F1307.NYM,"Daily or weekly future for A43,",NYM
CUE6.AX,Commonwealth Bank Of Australia ,ASX
OPOJ1311.NYM,"Daily or weekly future for OPO,",NYM
JNLG1304.NYM,JNL Future FEB 04 2013,NYM
3MFZ13-2.SI,"3MF future for December 2013, b",SES
BNI4.AX,Base Load Electricity Futures N,ASX
ABNV-X1328.BO,ABNV     NOV  2013 FUTURE,BSE
ZJLN1310.NYM,ZJL Future JUL 10 2013,NYM
ABTV1325.NYM,ABT Future OCT 25 2013,NYM
AVZN1301.NYM,AVZ Future JUL 01 2013,NYM
LSPJ18.NYM,"future for LSP, April, 2018, tr",NYM
GJF4O.OL,GJENSI MAR 14/N    ,OSL
R6Q16.NYM,ISO New England West Central Ma,NYM
MPK14.NYM,New York Harbor Heating Oil Cal,NYM
ZJLK1303.NYM,ZJL Future MAY 03 2013,NYM
NNM18.NYM,Henry Hub Natural Gas Swap Futu,NYM
KSDV13.NYM,"future for KSD, October, 2013, ",NYM
SAH14.CBT,Five-Year Interest Rate Swap Fu,CBT
ZTAM15.NYM,ZTA Future JUN 2015 Trading Ses,NYM
T3J13.NYM,NYISO zone g5 mw peak calendar ,NYM
T7Q1306.NYM,Tennessee 500 Leg Natural Gas S,NYM
GCH13.CMX,Gold Mar 13,CMX
Y9F1328.NYM,Y9 Future JAN 28 2013,NYM
NHH-CN13-C.PH,,
R2:WHRL3T.SA,WHIRLPOOL   -ON,SAO
GCBU1325.NYM,GCB Future SEP 25 2013,NYM
Q02G13.CME,Q02 Future FEB 2013,CME
LCG14.CME,Live Cattle Feb 14,CME
VDG1304.NYM,"AEP-Dayton Hub Daily Futures,Fe",NYM
SLV1315.NYM,"Natural Gas El Paso, Permian Sw",NYM
U5F14.NYM,"future for U5, January, 2014, t",NYM
TBQ16.NYM,Texas Gas Zone SL Basis (Natura,NYM
R2:BRFS3S.SA,BRF SA      -ON      NM,SAO
K3Z14.NYM,NYISO Zone A5 MW Peak Calendar ,NYM
NUZ14.NYM,"Trunkline, LA Basis (Natural Ga",NYM
DDZ13.CBT,Dow Jones Industrial Average In,CBT
BR7H1326.NYM,BR7 Future MAR 26 2013,NYM
GXU5.AX,Victorian Wholesale Gas Futures,ASX
WRHV13.CME,WRH Future OCT 2013,CME
MIBFTB-QJ13-C.PH,,
KAV14.NYM,New York Independent System Ope,NYM
X8J1313.NYM,X8 Future APR 13 2013,NYM
KSRF1331.NYM,KSR Future JAN 31 2013,NYM
FTLF1329.NYM,FTL Future JAN 29 2013,NYM
PNH4.AX,Peak Load Electricity New South,ASX
YWFX1304.NYM,YWF Future NOV 04 2013,NYM
H7YX13.NYM,H7Y Future NOV 2013,NYM
QGX15.NYM,"Natural Gas miNY Futures,Nov-20",NYM
UVQ15.NYM,European 3.5% Fuel Oil Rotterda,NYM
1RV13.NYM,"future for 1R, October, 2013, t",NYM
SLV1305.NYM,"Natural Gas El Paso, Permian Sw",NYM
X3J1323.NYM,X3 Future APR 23 2013,NYM
XZ1M14.NYM,XZ1 Future JUN 2014 Trading Ses,NYM
LSPV14.NYM,"future for LSP, October, 2014, ",NYM
WSU13.KBT,"future for WS, September, 2013,",KBT
CRGL-K1330.BO,CRGL     MAY  2013 FUTURE,BSE
ZSTQ1306.NYM,ZST Future AUG 06 2013,NYM
SK8J1303.NYM,SK8 Future APR 03 2013,NYM
YHFM1326.NYM,YHF Future JUN 26 2013,NYM
NUU17.NYM,"Trunkline, LA Basis (Natural Ga",NYM
ZJLZ1331.NYM,ZJL Future DEC 31 2013 Trading ,NYM
QXF14.NYM,Eastern Rail CSX Coal Swap Futu,NYM
I6V13.NYM,"future for I6, October, 2013, t",NYM
UMLQ16.NYM,UML Future AUG 2016 Trading Ses,NYM
FIV14.NYM,1% Fuel Oil NWE Crack Spread Sw,NYM
FTLN1331.NYM,FTL Future JUL 31 2013,NYM
IFXGZ3.EX,IFXG DEC 13        ,EUX
UXM15.NYM,"UxC Uranium U308 Swap Futures,J",NYM
SXZH14.CME,Weather New York City Seasonal ,CME
X2M1320.NYM,X2 Future JUN 20 2013,NYM
MXLV1306.NYM,MXL Future OCT 06 2013,NYM
X2Q1317.NYM,X2 Future AUG 17 2013,NYM
AKXX1305.NYM,AKX Future NOV 05 2013 Trading ,NYM
VIS-PQ13-C.PH,,
FWB3.AX,Fine (19 Micron) Wool February ,ASX
YHFM1310.NYM,YHF Future JUN 10 2013,NYM
QHV14.NYM,"Heating Oil miNY Futures,Oct-20",NYM
FEDB-N1325.BO,FEDB     JUL  2013 FUTURE,BSE
NNH19.NYM,Henry Hub Natural Gas Swap Futu,NYM
MIBFTB-MN13-C.PH,,
NBX13.NYM,"Chicago Basis Swap Futures,Nov-",NYM
TBQ14.NYM,Texas Gas Zone SL Basis (Natura,NYM
MXLV1322.NYM,MXL Future OCT 22 2013,NYM
K4F15.NYM,NYISO Zone A5 MW Off-Peak Calen,NYM
